,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,7332,7567,12029,9237,10518,9146,10717,9252,10976,10533,9981,8309,9580,16560
13,7332,7567,12029,9237,10518,9146,10717,9252,10976,10533,9981,8309,9580,16560
11,2143,2232,6401,3877,4889,3645,5101,3726,5349,4915,4356,2906,3965,10931
9,1417,1387,4504,2596,3008,2082,3260,2233,3469,3074,2516,1578,2178,9016
7,1117,1026,3375,1997,1963,1357,2279,1596,2442,2042,1546,1022,1371,7826
5,813,711,2410,1537,1173,835,1559,1107,1601,1206,863,612,833,6614
3,519,442,1473,1055,559,412,928,666,851,575,382,284,443,5109
1,193,145,507,492,91,105,352,210,213,121,68,37,119,2653
