,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,8869,9220,15829,12225,13045,10820,13724,11233,14099,12894,12256,9425,11777,26675
11,3875,4014,10279,6986,7495,5419,8185,5784,8550,7357,6709,4113,6242,21124
9,2950,2914,7804,5328,5047,3425,5776,3839,6101,4952,4295,2383,3901,18628
7,2506,2341,6151,4421,3486,2387,4323,2915,4553,3457,2850,1603,2651,16862
5,2041,1835,4589,3606,2207,1611,3111,2180,3170,2163,1719,1028,1738,14916
3,1547,1314,3092,2753,1216,912,2027,1477,1926,1100,844,522,1047,12389
1,676,515,1192,1343,271,302,759,551,592,236,178,90,297,7002
