,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,8101,8511,13009,9850,11811,10566,11555,10144,11939,11935,11421,9783,10908,15308
13,8101,8511,13009,9850,11811,10566,11555,10144,11939,11935,11421,9783,10908,15308
11,1579,1779,5920,3066,4720,3613,4475,3179,4849,4854,4337,2978,3828,8217
9,856,911,3824,1654,2641,1854,2433,1553,2777,2815,2290,1468,1839,6111
7,572,562,2636,1063,1542,1051,1443,943,1698,1719,1257,856,987,4873
5,370,334,1787,694,858,570,829,557,1006,975,651,494,542,3850
3,238,197,1074,446,387,226,435,291,496,455,267,210,259,2804
1,94,57,339,198,63,38,119,70,104,112,36,23,65,1318
