,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,9112,9584,15377,11787,13496,11797,13424,11424,14038,13499,12977,10576,12326,20625
11,2707,2927,8324,5071,6442,4906,6381,4499,6984,6458,5931,3813,5285,13570
9,1833,1859,5756,3305,3904,2778,3884,2494,4447,3964,3427,1981,2826,10988
7,1430,1343,4192,2466,2449,1736,2548,1657,2989,2529,2032,1219,1671,9328
5,1069,950,2908,1802,1402,1044,1590,1075,1890,1469,1101,723,963,7748
3,774,649,1787,1264,682,496,885,626,1031,657,459,322,477,5984
1,320,251,592,548,128,130,252,191,283,146,75,46,118,3080
