,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,8099,8509,13007,9848,11808,10563,11553,10143,11937,11932,11418,9782,10905,15306
13,8099,8509,13007,9848,11808,10563,11553,10143,11937,11932,11418,9782,10905,15306
11,1579,1779,5920,3066,4719,3612,4475,3180,4849,4853,4336,2979,3827,8217
9,857,912,3825,1655,2641,1854,2434,1554,2778,2815,2290,1469,1839,6112
7,572,562,2636,1063,1542,1051,1443,943,1698,1719,1257,856,987,4873
5,370,334,1787,694,858,570,829,557,1006,975,651,494,542,3850
3,238,197,1074,446,387,226,435,291,496,455,267,210,259,2804
1,94,57,339,198,63,38,119,70,104,112,36,23,65,1318
