,Spleen,Kidney,Pancreas,Heart,Muscle,BMDM,Liver,CHO,Brain,MiscOrgans,FemaleReproductive,Lung,Cumulative
Overall,12329,13426,10577,11800,12980,11389,11425,11789,15379,13502,13499,14040,20627
11,6250,7347,4498,5721,6901,5310,5346,5710,9300,7423,7420,7961,14548
9,2992,4056,2039,2879,3598,3168,2581,3434,5955,4131,4094,4633,11191
7,1712,2621,1245,1768,2077,2395,1698,2527,4270,2586,2514,3070,9428
5,995,1629,733,1060,1122,1831,1096,1845,2950,1499,1438,1936,7832
3,490,896,327,501,461,1342,634,1288,1803,660,690,1052,6042
1,118,252,46,130,75,628,191,548,592,146,128,283,3137
