,Spleen,Kidney,Pancreas,Heart,Muscle,BMDM,Liver,CHO,Brain,MiscOrgans,FemaleReproductive,Lung,Cumulative
Overall,10908,11555,9783,10566,11421,9596,10144,9850,13009,11935,11811,11939,15308
13,10908,11555,9783,10566,11421,9596,10144,9850,13009,11935,11811,11939,15308
11,4716,5363,3591,4374,5229,3404,3952,3658,6817,5743,5619,5747,9116
9,1972,2570,1511,1932,2422,1544,1626,1758,3979,2945,2790,2923,6271
7,1022,1491,875,1068,1288,983,966,1102,2693,1762,1587,1749,4941
5,563,852,501,576,663,644,566,713,1810,994,876,1029,3895
3,264,439,213,229,269,416,292,457,1083,458,390,502,2829
1,65,119,23,38,36,166,70,198,339,112,63,104,1333
