,Muscle,MiscOrgans,Brain,Spleen,CHO,FemaleReproductive,Lung,BMDM,Pancreas,Kidney,Heart,Liver,Cumulative
Overall,9981,10533,12029,9580,9237,10518,10976,8945,8309,10717,9146,9252,16560
13,9981,10533,12029,9580,9237,10518,10976,8945,8309,10717,9146,9252,16560
11,5123,5675,7171,4722,4379,5660,6118,4087,3451,5859,4288,4394,11702
9,2672,3230,4686,2329,2717,3187,3647,2430,1635,3422,2175,2334,9208
7,1573,2075,3427,1397,2035,2002,2489,1807,1038,2325,1372,1623,7887
5,884,1227,2443,868,1574,1202,1643,1362,621,1588,849,1129,6687
3,385,577,1490,455,1078,568,876,926,288,944,416,675,5171
1,68,121,507,119,492,91,213,383,37,352,105,210,2698
