,Muscle,MiscOrgans,Brain,Spleen,CHO,FemaleReproductive,Lung,BMDM,Pancreas,Kidney,Heart,Liver,Cumulative
Overall,12256,12894,15829,11777,12225,13045,14099,11740,9425,13724,10820,11233,26675
11,7558,8196,11131,7079,7527,8347,9401,7042,4727,9026,6122,6535,21977
9,4501,5150,8035,4090,5475,5270,6324,5027,2456,5979,3541,3966,18870
7,2896,3514,6248,2705,4490,3561,4645,4164,1630,4410,2415,2961,16975
5,1747,2206,4648,1784,3661,2244,3241,3453,1041,3166,1632,2216,15032
3,851,1108,3122,1073,2807,1227,1968,2699,528,2060,919,1501,12513
1,178,236,1192,297,1343,271,592,1338,90,759,302,551,7149
