,BMDM1hKLA,BMDMwt,Brain,CHO,FemaleReproductive,Heart,Kidney,Liver,Lung,MiscOrgans,Muscle,Pancreas,Spleen,Cumulative
Overall,9114,9586,15379,11789,13499,11800,13426,11425,14040,13502,12980,10577,12329,20627
11,2707,2927,8324,5071,6443,4907,6381,4498,6984,6459,5932,3812,5286,13570
9,1832,1858,5755,3304,3904,2778,3883,2493,4446,3964,3427,1980,2826,10987
7,1430,1343,4192,2466,2449,1736,2548,1657,2989,2529,2032,1219,1671,9328
5,1069,950,2908,1802,1402,1044,1590,1075,1890,1469,1101,723,963,7748
3,774,649,1787,1264,682,496,885,626,1031,657,459,322,477,5984
1,320,251,592,548,128,130,252,191,283,146,75,46,118,3080
