,Spleen,BMDM,FemaleReproductive,Heart,Kidney,Brain,Liver,CHO,Muscle,Pancreas,Lung,MiscOrgans,Cumulative
Overall,10905,9594,11808,10563,11553,13007,10143,9848,11418,9782,11937,11932,15306
13,10905,9594,11808,10563,11553,13007,10143,9848,11418,9782,11937,11932,15306
11,4715,3404,5618,4373,5363,6817,3953,3658,5228,3592,5747,5742,9116
9,1972,1545,2790,1932,2571,3980,1627,1759,2422,1512,2924,2945,6272
7,1022,984,1587,1068,1492,2694,967,1103,1288,876,1750,1762,4942
5,563,644,876,576,852,1810,566,713,663,501,1029,994,3895
3,264,416,390,229,439,1083,292,457,269,213,502,458,2829
1,65,166,63,38,119,339,70,198,36,23,104,112,1333
