,Spleen,BMDM,FemaleReproductive,Heart,Kidney,Brain,Liver,CHO,Muscle,Pancreas,Lung,MiscOrgans,Cumulative
Overall,12326,11387,13496,11797,13424,15377,11424,11787,12977,10576,14038,13499,20625
11,6249,5310,7419,5720,7347,9300,5347,5710,6900,4499,7961,7422,14548
9,2992,3169,4094,2879,4057,5956,2582,3435,3598,2040,4634,4131,11192
7,1712,2396,2514,1768,2622,4271,1699,2528,2077,1246,3071,2586,9429
5,995,1831,1438,1060,1629,2950,1096,1845,1122,733,1936,1499,7832
3,490,1342,690,501,896,1803,634,1288,461,327,1052,660,6042
1,118,628,128,130,252,592,191,548,75,46,283,146,3137
