,Liver,FemaleReproductive,Pancreas,BMDM,Heart,Lung,Spleen,Kidney,MiscOrgans,Muscle,CHO,Brain,Cumulative
Overall,10143,11808,9782,9594,10563,11937,10905,11553,11932,11418,9848,13007,15306
13,10143,11808,9782,9594,10563,11937,10905,11553,11932,11418,9848,13007,15306
11,3953,5618,3592,3404,4373,5747,4715,5363,5742,5228,3658,6817,9116
9,1627,2790,1512,1545,1932,2924,1972,2571,2945,2422,1759,3980,6272
7,967,1587,876,984,1068,1750,1022,1492,1762,1288,1103,2694,4942
5,566,876,501,644,576,1029,563,852,994,663,713,1810,3895
3,292,390,213,416,229,502,264,439,458,269,457,1083,2829
1,70,63,23,166,38,104,65,119,112,36,198,339,1333
