,Liver,FemaleReproductive,Pancreas,BMDM,Heart,Lung,Spleen,Kidney,MiscOrgans,Muscle,CHO,Brain,Cumulative
Overall,11424,13496,10576,11387,11797,14038,12326,13424,13499,12977,11787,15377,20625
11,5347,7419,4499,5310,5720,7961,6249,7347,7422,6900,5710,9300,14548
9,2582,4094,2040,3169,2879,4634,2992,4057,4131,3598,3435,5956,11192
7,1699,2514,1246,2396,1768,3071,1712,2622,2586,2077,2528,4271,9429
5,1096,1438,733,1831,1060,1936,995,1629,1499,1122,1845,2950,7832
3,634,690,327,1342,501,1052,490,896,660,461,1288,1803,6042
1,191,128,46,628,130,283,118,252,146,75,548,592,3137
