,Heart,Liver,FemaleReproductive,Spleen,CHO,Pancreas,Lung,Brain,Muscle,Kidney,MiscOrgans,BMDM,Cumulative
Overall,11800,11425,13499,12329,11789,10577,14040,15379,12980,13426,13502,11389,20627
11,5721,5346,7420,6250,5710,4498,7961,9300,6901,7347,7423,5310,14548
9,2879,2581,4094,2992,3434,2039,4633,5955,3598,4056,4131,3168,11191
7,1768,1698,2514,1712,2527,1245,3070,4270,2077,2621,2586,2395,9428
5,1060,1096,1438,995,1845,733,1936,2950,1122,1629,1499,1831,7832
3,501,634,690,490,1288,327,1052,1803,461,896,660,1342,6042
1,130,191,128,118,548,46,283,592,75,252,146,628,3137
